Player,Tier,Team,GP,W,L,bc_name,bc_games,shooting_pct,score,boost_per_min,avg_boost,boost_stolen,pct_zero_boost,avg_speed,pct_supersonic,pct_high_air,dist_to_ball,pct_offensive_third,demos_inflicted,demos_taken,win_pct
Devyze,Elite,Afterburners,32,13,19,Devyze,32,24.750874000000003,390.34375,413.91505624999996,45.11149699999999,505.03125,17.58383375,1500.452675,13.5683550625,5.0521328125,2890.6855125,20.550282625,0.4375,1.53125,0.40625
Czelco,Challenger,Warbirds,32,25,7,Czelco,32,38.04689175,388.4375,473.2085225,49.16903525000001,637.90625,11.853665875,1614.904825,18.904595,3.8666739375,2995.1846875,25.553611375000003,6.40625,1.125,0.78125
Exilesbad,Veteran,Grizzly Bears,28,15,13,ExilesBad,28,35.355949714285714,445.7142857142857,400.2876742857143,52.204641,466.5,12.078506214285714,1566.9490428571428,15.395964642857146,5.861183942857144,2759.5175000000004,20.173616714285714,0.7142857142857143,1.1071428571428572,0.5357142857142857
Budzy,Amateur,HR Violation,30,23,7,Budzy,30,38.5609032,415.7,349.0308706666666,55.26828079999999,377.6333333333333,10.313647959999999,1475.525213333333,8.750539026666667,3.2767711600000005,2749.26826,23.793284066666665,0.6,0.8,0.7666666666666667
Nixzy,Elite,Leopards,32,21,11,Nixzy,32,27.411589624999998,387.84375,452.58420875,47.095652625,534.375,13.4135955,1540.894425,15.055574625000002,5.0794341125,3052.7086125,21.532470875,0.96875,1.21875,0.65625
Aquap,Veteran,Grizzly Bears,32,19,13,AquaP,32,40.704816,386.84375,382.89105875,44.934760625,547.0625,12.14128575,1579.5208499999999,14.47962025,4.495195000000001,2935.8975124999997,20.769638125,0.78125,1.0,0.59375
Pistonless,Contender,Wobbegongs,32,18,14,Pistonless,32,29.657928875000003,385.9375,342.89813124999995,54.220417499999996,405.5,9.65024115,1393.8222625,9.684237750000001,3.3244285,3028.0381625,17.50248075,0.4375,0.9375,0.5625
Surge,Veteran,Kirin,32,15,17,Surge,32,31.012286249999995,385.75,365.67549,47.33804512500001,504.0625,11.814965562500001,1486.8520624999999,11.711706187499999,4.5263682625,2884.6498375,20.731571999999996,0.34375,0.84375,0.46875
vince_afterhours,Challenger,Chew Toys,28,15,13,vince_afterhours,28,43.971207142857146,439.92857142857144,437.9063814285714,52.02041642857143,693.8214285714286,11.936432185714285,1564.840642857143,14.674257285714285,3.9767317428571434,2527.7466142857143,22.975389142857146,0.8214285714285714,0.9285714285714286,0.5357142857142857
Captain Daddy,Veteran,Dogfight,32,19,13,Captain Daddy,32,40.826569125,384.03125,426.89339749999994,46.18398225,642.3125,11.099715325,1525.6639875,13.498605625,4.5606659,2905.534175,22.216073125,1.25,0.78125,0.59375
Shraxl,Veteran,Nighthawks,32,14,18,Shraxl,32,30.426101249999995,383.5,358.29665874999995,52.97297912500001,569.34375,9.1098702,1479.9147750000002,10.8327629375,4.868173712500001,3053.96615,22.783801875,0.84375,1.125,0.4375
Idol,Rival,Polar Ice,31,19,12,Idol,31,29.944742322580645,395.7419348387097,442.54690967741936,52.52613238709678,634.2580651612903,10.543951806451613,1562.1936032258066,21.419076258064514,4.111444967741935,2876.7205225806447,22.203523870967743,1.2258064516129032,0.8064516129032258,0.6129032258064516
oofitsfine,Contender,Rollers,32,23,9,oofitsfine,32,39.085775874999996,383.15625,412.960535,52.850164375000006,598.53125,9.973344975,1553.3502125,14.2960848125,2.96257305,3014.5321999999996,23.491717375,2.0,0.875,0.71875
vidhawk rl,Premier,Lords,28,18,10,vidhawk rl,28,40.871211714285714,437.67857142857144,421.24462714285715,48.94551685714287,500.2142857142857,12.426789714285714,1553.2600000000002,15.762049571428573,7.574652357142859,2850.2064000000005,22.046353142857146,1.1428571428571428,1.5,0.6428571428571429
Detta,Elite,Despair,28,15,13,Detta,28,33.61477899999999,434.2857142857143,397.8294371428571,52.26797271428571,555.3928571428571,9.352403285714287,1595.3410142857142,15.847399499999998,4.799537757142857,3004.0822857142857,20.496056142857146,0.9285714285714286,1.1428571428571428,0.5357142857142857
diehard_mma,Prospect,River Wolves,31,16,15,diehard_mma,31,28.673345354838712,391.9354832258065,361.274265483871,52.06505022580645,510.4516129032258,6.958091077419355,1488.8441032258063,9.093583483870967,3.8309758516129033,2956.699283870967,21.15221012903226,0.677419355483871,0.8387096780645161,0.5161290322580645
bradyisadopted,Contender,Zorillas,32,21,11,bradyisadopted,32,42.756982375,378.96875,393.51444125,50.473233625,589.125,11.576029,1503.296775,11.50463675,3.01772315,3035.6875750000004,19.8801385,1.34375,1.03125,0.65625
le bin.,Challenger,Chew Toys,29,18,11,le bin.,29,34.24962013793104,417.0689655172414,275.35280275862067,49.391052,422.7586206896552,7.728077117241378,1387.0518206896552,7.334743255172413,4.700049044827587,2613.557406896552,21.587802896551725,0.2413793103448276,1.1724137931034482,0.6206896551724138
Piky Life88,Amateur,Surprise,32,17,15,Piky Life88,31,31.412810709677416,383.3870961290323,287.0983051612904,49.92921841935484,488.64515806451607,7.831930761290323,1385.3244645161292,9.030683329032259,2.0272431903225807,3374.006677419355,19.381879322580644,1.8064516096774192,0.8709677483870968,0.53125
